"","count","skill"
"1",1,""
"2",1,"1 python 2 nlp 3 deep learning"
"3",1,"160k"
"4",2,"2 years industry exp"
"5",1,"3 years experience doing data science"
"6",1,"5 years of experience in a similar role"
"7",1,"5 years of experience in creating machine learning pipelines"
"8",1,"7 years of progressively increasing responsibilities marketing"
"9",1,"9 years of demonstrated experience leading teams"
"10",1,"A"
"11",1,"Able to obtain a top secret"
"12",2,"Access"
"13",1,"Accumulo"
"14",1,"Ad hoc reporting"
"15",1,"Administration"
"16",1,"Adobe"
"17",2,"Adobe marketing suite"
"18",2,"Adtech"
"19",2,"Advertising analytics"
"20",22,"Agile"
"21",2,"Agile environment"
"22",2,"Agile work environment"
"23",19,"Ai"
"24",1,"Ai cognitive technology"
"25",1,"Ai ml"
"26",2,"Airline contracting"
"27",10,"Algorithm"
"28",2,"Algorithmic development"
"29",71,"Algorithms"
"30",1,"Alteryx"
"31",1,"Amazon web services"
"32",2,"Anaconda"
"33",76,"Analysis"
"34",1,"Analysis service ssas"
"35",1,"Analysis tools tableau"
"36",18,"Analyst"
"37",3,"Analytical"
"38",4,"Analytical skills"
"39",1,"Analytical techniques"
"40",16,"Analytics"
"41",1,"And"
"42",1,"And application development"
"43",1,"And behavioral modeling"
"44",1,"And scala"
"45",1,"And supervised algorithms"
"46",2,"Android"
"47",1,"Ansible"
"48",6,"Apache"
"49",1,"Apache hadoop"
"50",8,"Apache spark"
"51",1,"Apache zeppelin"
"52",8,"Api"
"53",1,"Applied mathematics"
"54",3,"Applied research"
"55",1,"Architect"
"56",20,"Architecture"
"57",26,"Artificial intelligence"
"58",4,"Asp"
"59",4,"Asp net"
"60",1,"Asset mgmt"
"61",1,"Astronomy"
"62",1,"At least 2 to 4 years professional experience in nlp"
"63",1,"Atlassian"
"64",22,"Automated"
"65",3,"Automation"
"66",2,"Avionics"
"67",19,"Aws"
"68",2,"Aws azure"
"69",1,"Aws cloud services"
"70",9,"Azure"
"71",1,"Azure cloud engineer"
"72",1,"Azure machine learning"
"73",1,"Azure ml"
"74",1,"Azure sql data warehouse"
"75",1,"Backend coding"
"76",2,"Bash"
"77",4,"Bayesian hierarchical modeling"
"78",2,"Bayesian inference"
"79",1,"Bayesian statistics"
"80",1,"Benchmark"
"81",2,"Bi"
"82",1,"Bi dashboards"
"83",1,"Bi engineer"
"84",21,"Big data"
"85",1,"Big data ecosystem"
"86",2,"Big data management"
"87",1,"Big data management tools i e informatica bdm"
"88",1,"Big data platforms"
"89",1,"Big data science"
"90",1,"Big data storage"
"91",3,"Bigdata"
"92",2,"Bigquery"
