skill,count,clean_skill,skill_group
.net,6,.NET,Programming Language
asp.net,4,.NET,Programming Language
access,2,Access,Database Technology
accumulo,1,Accumulo,Database Technology
adobe,1,Adobe,Software
adobe marketing suite,2,Adobe,Software
adtech,2,Adtech,
agile,22,Agile,Environment
agile environment,2,Agile,Environment
agile work environment,1,Agile,Environment
agile work environment - data mining,1,Agile,Environment
airline contracting,1,Airlines,Domain Expertise
airline contracting - direct analytics,1,Airlines,Domain Expertise
u.s. airline,2,Airlines,Domain Expertise
u.s. travel agency,2,Airlines,Domain Expertise
algorithm,10,Algorithm,
algorithmic development,2,Algorithm,
algorithms,69,Algorithm,
algorithms - machine learning,1,Algorithm,
and supervised algorithms.,1,Algorithm,
amazon web services,1,Amazon Web Services,Cloud Computing
aws,17,Amazon Web Services,Cloud Computing
aws cloud services: ec2,1,Amazon Web Services,Cloud Computing
aws- azure,2,Amazon Web Services,Cloud Computing
ec2,1,Amazon Web Services,Cloud Computing
etc.) amazon web services (aws),1,Amazon Web Services,Cloud Computing
etl; data; spark; hive; extract; transform; load; sql; aws; design; data sets,1,Amazon Web Services,Cloud Computing
expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud.,1,Amazon Web Services,Cloud Computing
expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud. should have hands on experience configuring and onboarding users including developer,1,Amazon Web Services,Cloud Computing
python - aws,1,Amazon Web Services,Cloud Computing
anaconda,1,Anaconda,Platform
anaconda - python,1,Anaconda,Platform
principal data scientist skills: analytics - statistics - machine learning - ml - data models - big data - pricing revenue - retail - cloud - price optimization - r - python,1,Analytics,
android,2,Android,Platform
ansible,1,Ansible,
apache,6,Apache,Web Server
api,8,API,Data Acquistion/Management
and application development,1,Application Development,
applied mathematics,1,Applied Mathematics,Domain Expertise
architect,1,Architecture,Domain Expertise
architecture,20,Architecture,Domain Expertise
(machine learning ) and (artificial intelligence ) and (rafa ),1,Artificial Intelligence,General Skill
ai,13,Artificial Intelligence,General Skill
ai - data scientist,2,Artificial Intelligence,General Skill
ai - r,1,Artificial Intelligence,General Skill
ai & cognitive technology,1,Artificial Intelligence,General Skill
ai and ml models,1,Artificial Intelligence,General Skill
ai.ml,1,Artificial Intelligence,General Skill
ai/ml,1,Artificial Intelligence,General Skill
artificial intelligence,24,Artificial Intelligence,General Skill
artificial-intelligence,1,Artificial Intelligence,General Skill
