id,raw_skills,url
1,"['natural language', ' artificial intelligence', ' machine learning', ' matlab', ' python', ' r', ' tensorflow']",https://www.dice.com/jobs/detail/Data-Scientist-%26%2347Natural-Language-Processing-in-Morrisville%2C-NC-Super-Technology-Solutions%2C-Inc.-Morrisville-NC-27560/10317361/RK960?icid=sr351-12p&q=%22Data+Scientist%22&l=
2,"['analyst', ' database', ' developer', ' informatica', ' lifecycle', ' management', ' python', ' sas', ' security', ' solr']",https://www.dice.com/jobs/detail/Data-Engineer-III-Swoon-Group-Waukegan-IL-60079/10360791/29484?icid=sr402-14p&q=%22Data+Scientist%22&l=
3,"['data analytics', ' data mining and statistical analysis', ' sql', ' python', ' scala']",https://www.dice.com/jobs/detail/Data-Scientist-Prudent-Technologies-and-Consulting-Fort-Worth-TX-76131/prutx001/CK34?icid=sr117-4p&q=%22Data+Scientist%22&l=
4,"['data science', ' machine learning', ' python', ' tensorflow', ' nlp', ' node.js', ' artificial intelligence', ' biomedical - data science', ' machine learning', ' python', ' tensorflow', ' nlp', ' node.js', ' artificial intelligence', ' biomedical']",https://www.dice.com/jobs/detail/Senior-Data-Scientist-CyberCoders-San-Francisco-CA-94101/cybercod/CG3%26%234514839711?icid=sr213-8p&q=%22Data+Scientist%22&l=
5,"['analysis', ' change management', ' consulting', ' data mining', ' development', ' excel', ' html', ' management', ' modeling', ' ms office', ' programming', ' python', ' recruiter', ' research', ' sas']",https://www.dice.com/jobs/detail/Data-Scientist-%28Python%26%2347R%29-%26%2345-People-Analytics-Deloitte-Orlando-FL-32801/10106525/E19ORLCACDS003%26%2345HC?icid=sr310-11p&q=%22Data+Scientist%22&l=
6,"['machine learning', ' python', ' natural language processing', ' information retrieval', ' recommender systems', ' hadoop', ' spark - machine learning', ' python', ' natural language processing', ' information retrieval', ' recommender systems', ' hadoop', ' spark']",https://www.dice.com/jobs/detail/Natural-Language-Processing-Data-Scientist-CyberCoders-San-Jose-CA-95101/cybercod/SM9%26%234514845121?icid=sr287-10p&q=%22Data+Scientist%22&l=
7,"['architect', ' cloud', ' business intelligence', ' transformation', ' process improvement', ' strategy', ' analytics']",https://www.dice.com/jobs/detail/Cloud-Computing-Architect%26%2347-Senior-Engineer-iTech-Solutions-Hartford-CT-06183/10111560/18%26%234501844?icid=sr435-15p&q=%22Data+Scientist%22&l=
8,"['algorithms', ' analysis', ' data mining', ' data modeling', ' genetic', ' modeling', ' oracle', ' python', ' sas', ' sql', ' sql server', ' statistical analysis', ' teradata']",https://www.dice.com/jobs/detail/Sr.-Data-Scientist-%26%2345-Telecommute-UnitedHealth-Group-Eden-Prairie-MN-55343/uhgbot/780996?icid=sr155-6p&q=%22Data+Scientist%22&l=
9,"['analysis', ' architecture', ' benchmark', ' business intelligence', ' c++', ' data mining', ' development', ' java', ' lifecycle', ' management', ' matlab', ' modeling', ' python', ' sales', ' sql']",https://www.dice.com/jobs/detail/DATA-SCIENTIST-NIC-Inc-Austin-TX-73301/10119425/39e6bf15%26%23451e84%26%23454dec%26%2345956e%26%2345ffc638a6aae3?icid=sr18-1p&q=%22Data+Scientist%22&l=
10,"['masters degree with 5 years of experience in creating machine learning pipelines', ' creating large datasets', '  unsupervised (clustering)', ' semi-supervised (label propagation)', ' and supervised algorithms.']",https://www.dice.com/jobs/detail/Data-Scientist-Alpha-Recruitment-Washington-DC-20001/10369051/609843?icid=sr87-3p&q=%22Data+Scientist%22&l=
13,"['algorithms', ' analysis', ' business requirements', ' c++', ' data analysis', ' gis', ' hadoop', ' hardware', ' java', ' manager', ' mysql', ' mysql', ' networks', ' oracle', ' perl', ' programming', ' project', ' python', ' sas', ' security', ' sql', ' sql server', ' supervision']",https://www.dice.com/jobs/detail/Cyber-Security-Data-Scientist-Bank-Of-America-Chicago-IL-60290/10118499/18058874%26%23451?icid=sr173-6p&q=%22Data+Scientist%22&l=
14,"['database', ' management', ' python', ' sql']",https://www.dice.com/jobs/detail/Data-Scientist-Modis-Louisville-KY-40222/10425966/US_EN_6_916320_1026939?icid=sr96-4p&q=%22Data+Scientist%22&l=
16,"['data science', ' statistics', ' machine learning models', ' deep learning networks', ' python', ' spark', ' pyspark hadoop', ' spark', ' redshift', ' nosql (dynamodb/cassandra/mongodb)', ' python', ' r', ' java', ' sql', ' matlab', ' mathematica']",https://www.dice.com/jobs/detail/Data-Scientist-%26%2347-Machine-learning-%26%2345-FTE-200K%2B%2C-15%26%2337-bonus%2C-Equity-Projas-Technologies%2C-LLC-Palo-Alto-CA-94301/10126850/TH%26%2345DATASC%26%2345ML?icid=sr368-13p&q=%22Data+Scientist%22&l=
18,"['data scientist', ' python', ' clustering algorithms', ' machine learning algorithms', ' neural networks', ' restful apis', ' nosql databases - mongodb-couchbase - cassandra', ' aws- azure', ' hadoop - hive - pig', ' c/c++ - data scientist', ' python', ' clustering algorithms', ' machine learning algorithms', ' neural networks', ' restful apis', ' nosql databases - mongodb-couchbase - cassandra', ' aws- azure', ' hadoop - hive - pig', ' c/c++']",https://www.dice.com/jobs/detail/Data-Scientist-CyberCoders-Newport-Beach-CA-92658/cybercod/NG%26%234514609851?icid=sr47-2p&q=%22Data+Scientist%22&l=
19,"['sme in statistics', ' analytics', ' big data', ' data science', ' machine learning']",https://www.dice.com/jobs/detail/Data-scientist-Savantis-Solutions-LLC-Scottsdale-AZ-85254/10116737/645545?icid=sr137-5p&q=%22Data+Scientist%22&l=
21,"['python/java/c#', ' sql', ' machine learning/data science/data scientist', ' spark', ' test ng/selenium', ' ci/cd/ci-cd/continuous integration/continuous deployment/jenkins', ' tableau/ raw /chart.js/data visualization']",https://www.dice.com/jobs/detail/Data-Scientist-U.S.-Tech-Solutions-Inc.-Seattle-WA-98101/usts/583573?icid=sr105-4p&q=%22Data+Scientist%22&l=
22,"['algorithms', ' analysis', ' analyst', ' architecture', ' data analysis', ' data mining', ' excel', ' gis', ' java', ' management', ' mathematical', ' modeler', ' programming', ' python', ' research', ' scientific', ' scripts', ' supply chain', ' supply chain management']",https://www.dice.com/jobs/detail/Statistician-%26%2347Data-Scientist-4-%26%2345-Data-Modeler-Engility-Springfield-VA-20598/10365615/1811832?icid=sr316-11p&q=%22Data+Scientist%22&l=
23,['business analyst data scientist r python jira github tableau powerbi statistics'],https://www.dice.com/jobs/detail/Business-Analyst%26%2347-Data-scientist_10482-Sedaa-San-Ramon-CA-94583/90752961/384608?icid=sr296-10p&q=%22Data+Scientist%22&l=
24,"['r', ' python', ' azure', ' spark or alteryx', ' sql']",https://www.dice.com/jobs/detail/Data-Scientist-Talent-Cloud-Staffing-Tampa-FL-33607/90918719/660200?icid=sr78-3p&q=%22Data+Scientist%22&l=
25,"['python', ' java', ' c++', ' data science - python', ' java', ' c++', ' data science']",https://www.dice.com/jobs/detail/Senior-Data-Scientist-%26%2345-E%26%2345Commerce-%26%2347-Adtech-CyberCoders-New-York-NY-10001/cybercod/JO4%26%234514580331?icid=sr325-11p&q=%22Data+Scientist%22&l=
26,"['agile', ' analysis', ' architecture', ' business intelligence', ' consulting', ' data analysis', ' data architecture', ' database', ' data warehouse', ' foundation', ' hadoop', ' http', ' management', ' modeling', ' networks', ' programming', ' python', ' sas', ' sql']",https://www.dice.com/jobs/detail/BI-Data-Scientist-Eliassen-Group-Stamford-CT-06901/cxelisen/311718?icid=sr253-9p&q=%22Data+Scientist%22&l=
