skill,count,clean_skill,skill_group
.net,6,.NET,Programming Language
(data scientist ) and (data analysis or running data pipelines ) and(machine learning or matlab ) and(python ),1,Data Scientist,Position
(data scientist ) and (data analysis or running data pipelines ) and(machine learning or matlab ) and(python ),1,Data Analysis,
(data scientist ) and (data analysis or running data pipelines ) and(machine learning or matlab ) and(python ),1,Data Pipelines,
(data scientist ) and (data analysis or running data pipelines ) and(machine learning or matlab ) and(python ),1,Machine Learning,
(data scientist ) and (data analysis or running data pipelines ) and(machine learning or matlab ) and(python ),1,MATLAB,Programming Language
(data scientist ) and (data analysis or running data pipelines ) and(machine learning or matlab ) and(python ),1,Python,Programming Language
(digital tag over 0.2 year(s) or tag management over 0.2 year(s) or tagging over 0.2 year(s) or tealium over 0.2 year(s) or piwik pro over 0.2 year(s) or pixel over 0.2 year(s) or qubit over 0.2 year(s) or opentag over 0.2 year(s) or open tag over 0.2 year(s) or ensighten over 0.2 year(s) or google tag over 0.2 year(s) or dynamic tag management over 0.2 year(s) or tag commander over 0.2 year(s) or mezzobit over 0.2 year(s) or supertag over 0.2 year(s) or super tag over 0.2 year(s) or tag defender over 0.2 year(s) or ubertags over 0.2 year(s) or ddx over 0.2 year(s) ) and(analytics over 0.2 year(s) or data scientist over 0.2 year(s) or informatics over 0.2 year(s) ) and(javascript over 0.2 year(s) or java script over 0.2 year(s) or html over 0.2 year(s) ),1,,
(machine learning ) and (artificial intelligence ) and (rafa ),1,Machine Learning,
(machine learning ) and (artificial intelligence ) and (rafa ),1,Artificial Intelligence,
(machine learning ) and (artificial intelligence ) and (rafa ),1,Rafa,
(toolkits like pandas,1,Pandas,
1. python 2. nlp 3. deep learning,1,Python,Programming Language
1. python 2. nlp 3. deep learning,1,Natural Language Processing,
1. python 2. nlp 3. deep learning,1,Deep Learning,
2 years industry exp,2,Experience,Soft Skill
3+ years experience doing data science with r and python in a professional,1,Experience,Soft Skill
3+ years experience doing data science with r and python in a professional,1,R,Programming Language
3+ years experience doing data science with r and python in a professional,1,Python,Programming Language
5+ years of experience in a similar role and experience in web attribution analytics.,1,Experience,Soft Skill
5+ years of experience in a similar role and experience in web attribution analytics.,1,Web Analytics,
7 years of progressively increasing responsibilities (marketing,1,Experience,Soft Skill
9+ years of demonstrated experience leading teams,1,Experience,Soft Skill
9+ years of demonstrated experience leading teams,1,Leadership,Soft Skill
access,2,Access,Database Technology
accumulo,1,Accumulo,Database Technology
ad hoc reporting,1,Communication,Soft Skill
administration,1,Leadership,Soft Skill
adobe,1,Adobe,Software
adobe marketing suite,2,Adobe,Software
adtech,2,Adtech,
agile,22,Agile,Environment
agile environment,2,Agile,Environment
agile work environment,1,Agile,Environment
agile work environment - data mining,1,Agile,Environment
agile work environment - data mining,1,Data Mining,
ai,13,Artificial Intelligence,
ai - data scientist,2,Artificial Intelligence,
ai - data scientist,2,Data Scientist,
ai - r,1,Artificial Intelligence,
ai - r,1,R,Programming Language
ai & cognitive technology,1,Artificial Intelligence,
ai & cognitive technology,1,Cognitive Technology,
ai and ml models,1,Artificial Intelligence,
ai and ml models,1,Machine Learning,
ai.ml,1,Artificial Intelligence,
ai.ml,1,Machine Learning,
ai/ml,1,Artificial Intelligence,
ai/ml,1,Machine Learning,
airline contracting,1,Airline Contracting,Domain Expertise
airline contracting - direct analytics,1,Airline Contracting,Domain Expertise
algorithm,10,Algorithm,
algorithmic development,2,Algorithm,
algorithms,69,Algorithm,
algorithms - machine learning,1,Algorithm,
algorithms - machine learning,1,Machine Learning,
amazon web services,1,Amazon Web Services,Platform
anaconda,1,Anaconda,Platform
anaconda - python,1,Anaconda,Platform
