,skill,count
0,natural language,1
1,artificial intelligence,24
2,machine learning,90
3,matlab,10
4,python,254
5,r,93
6,tensorflow,19
7,analyst,17
8,database,38
9,developer,7
10,informatica,2
11,lifecycle,7
12,management,51
13,sas,47
14,security,27
15,solr,4
16,data analytics,8
17,data mining and statistical analysis,1
18,sql,124
19,scala,17
20,data science,49
21,nlp,24
22,node.js,3
23,biomedical - data science,1
24,biomedical,1
25,analysis,76
26,change management,1
27,consulting,13
28,data mining,54
29,development,60
30,excel,16
31,html,6
32,modeling,58
33,ms office,4
34,programming,46
35,recruiter,4
36,research,54
37,natural language processing,6
38,information retrieval,3
39,recommender systems,2
40,hadoop,76
41,spark - machine learning,1
42,spark,37
43,architect,1
44,cloud,2
45,business intelligence,7
46,transformation,1
47,process improvement,2
48,strategy,1
49,analytics,12
50,algorithms,69
51,data modeling,16
52,genetic,14
53,oracle,17
54,sql server,16
55,statistical analysis,24
56,teradata,10
57,architecture,20
58,benchmark,1
59,c++,19
60,java,76
61,sales,8
62,masters degree with 5 years of experience in creating machine learning pipelines,1
63,creating large datasets,1
64,unsupervised (clustering),1
65,semi-supervised (label propagation),1
66,and supervised algorithms.,1
67,,42
68,n/a,1
69,business requirements,12
70,data analysis,40
71,gis,3
72,hardware,4
73,manager,6
74,mysql,19
75,networks,17
76,perl,11
77,project,27
78,supervision,4
79,data scientist,58
80,statistics,26
81,machine learning models,2
82,deep learning networks,2
83,pyspark hadoop,1
84,redshift,7
85,nosql (dynamodb/cassandra/mongodb),1
86,mathematica,1
87,clustering algorithms,2
88,machine learning algorithms,6
89,neural networks,2
90,restful apis,2
91,nosql databases - mongodb-couchbase - cassandra,2
92,aws- azure,2
93,hadoop - hive - pig,2
94,c/c++ - data scientist,1
95,c/c++,1
96,sme in statistics,1
97,big data,17
98,python/java/c#,1
99,machine learning/data science/data scientist,1
100,test ng/selenium,1
101,ci/cd/ci-cd/continuous integration/continuous deployment/jenkins,1
102,tableau/ raw /chart.js/data visualization,1
103,mathematical,16
104,modeler,2
105,scientific,10
106,scripts,11
107,supply chain,5
108,supply chain management,2
109,business analyst data scientist r python jira github tableau powerbi statistics,1
110,azure,5
111,spark or alteryx,1
112,data science - python,1
113,agile,22
114,data architecture,2
115,data warehouse,11
116,foundation,6
117,http,8
118,julia,8
119,apache spark - python,2
120,apache spark,5
121,one modern programming language: java,1
122,c#,7
123,or python and experience with languages/ frameworks used in ml & analytics: spark,1
124,r etc.,1
125,senior  data scientist  with phd,1
126,aws,17
127,business analyst and data and sql,1
128,physics,15
129,knowledge of a variety of machine learning and statistical modeling techniques in a business setting,1
130,aws cloud services: ec2,1
131,emr,2
132,rds,2
133,redshift; s3,1
134,etl tools knowledge is required.,1
135,senior manager,1
136,machine leaning,1
137,phd,7
138,cplex,1
139,ieor,1
140,business process analysis,2
141,requirements gathering,2
142,documentation,2
143,presentation skills,2
144,deep learning,10
145,optimization,1
146,reinforcement learningm probabistic inference,1
147,pyton,1
148,sql data engineer,1
149,cisco,1
150,micro,2
151,mongodb,8
152,networking,1
153,apache spark or kubernetes or hortonworks or hadoop,1
154,slq,3
155,watson,1
156,watson discovery,1
157,spss,5
158,watson data studio,1
159,.net,6
160,asp,4
161,asp.net,4
162,automated,22
163,css,5
164,data collection,10
165,jquery,4
166,ups,6
167,validation,7
168,data science; statistics,1
169,machine learning ; predictive analytics; neural network ; decision tree ; random forest ; linear regression ; python or r or sas; datarobot; sql; nosql,1
170,data analyst,3
171,erp,1
172,sap,3
173,mdm,1
174,machine learning and tensorflow and statistical model,1
175,azure cloud engineer,1
176,business intelligence engineer iii,1
177,r studio,1
178,saas,1
179,7 years of progressively increasing responsibilities (marketing,1
180,sales or product development function) within a data driven organization,1
181,olap,4
182,scrum,6
183,business analyst,1
184,financial industry,1
185,android,2
186,python or java,2
187,image processing,3
188,algorithms - machine learning,1
189,ai,13
190,visualization,5
191,crm - python,1
192,crm,6
193,or recommender systems,1
194,leadership,2
195,life science - data science,1
196,life science,1
197,regression,2
198,libraries,7
199,testing,29
200,apache,6
201,mapreduce,4
202,hive,17
203,python - data science,1
204,environmental,2
205,genetics,1
206,qa,1
207,predictive model,3
208,scikit.learn,2
209,virtual environments,2
210,bayesian inference,2
211,prior teaching experience (not essential) - data science,1
212,prior teaching experience (not essential),1
213,bigdata,3
214,predictive modeling,6
215,bi,2
216,tableau,16
217,cognos,4
218,5+ years of experience in a similar role and experience in web attribution analytics.,1
219,api,8
220,case,6
221,metrics,17
222,simulation,8
223,data scientist data pipeline modeling data engineer r sas python spark machine learning,1
224,data-science,1
225,machine-learning,2
226,life-sciences,1
227,predictive-analytics,1
228,modeling-and-simulation,1
229,bayesian-statistics,1
230,artificial-intelligence,1
231,sas programming,2
232,sas/stat,2
233,sas enterprise miner,2
234,nlp - data science,4
235,hdfs/ hive/ impala,1
236,network/ security,1
237,development(java),1
238,insurance,1
239,ai - data scientist,2
240,at least 2 to 4 years professional experience in nlp,1
241,ai/ml,1
242,jquery/javascript programming (including scripting / coding),1
243,sql and relational databases,1
244,and application development,1
245,ruby on rails / ror / ruby / rails,1
246,javascript,14
247,postgresql,11
248,rest,4
249,soap - ruby on rails / ror / ruby / rails,1
250,soap,3
251,machine learning python sql / nosql databases,1
252,elasticsearch,3
253,predictive analytics,8
254,r/python programming,1
255,h2o or azure ml,1
256,ibm,4
257,pandas,12
258,numpy,10
259,scipy,6
260,scikit-learn,2
261,go,3
262,db2,2
263,applied research,3
264,dce,2
265,ruby,5
266,tdd,3
267,digital analytics,1
268,algorithm,10
269,node,1
270,business objects,7
271,director,9
272,machine learning (ml),1
273,django,2
274,nosql,16
275,celery - java,1
276,celery,1
277,software engineer,7
278,bi engineer/data scientist,1
279,rational,1
280,etl,9
281,linux,18
282,data warehousing,1
283,shell scripting,5
284,kdb,1
285,data engineering,3
286,data science/ai/machine learning,1
287,analytical,3
288,it,3
289,vba,3
290,image analytics - python,1
291,image analytics,1
292,marketing technologies,1
293,pre-sales engineering,2
294,adobe marketing suite,2
295,salesforce marketing suite,2
296,oracle marketing suite - marketing technologies,1
297,oracle marketing suite,1
298,protocols,1
299,ai and ml models,1
300,pyspark,6
301,and scala,1
302,object oriented programming,2
303,typescript,1
